10.2,header.acquisition_provenance.source_data_point_id,,,,,identifier[1].system,uri,1..1,"""urn:ietf:rfc:3986""","fixed to ""urn:ietf:rfc:3986""","|10.2|header.acquisition_provenance.source_data_point_id|identifier[1].system|fixed to ""urn:ietf:rfc:3986""|"
11,header.acquisition_provenance.source_creation_date_time,date-time,0..1,The date time (timestamp) of data creation at the source.,,None,,,,,|11|header.acquisition_provenance.source_creation_date_time|None||
12,header.acquisition_provenance.last_modification_date_time,date-time,0..1,The date time (timestamp) of last data modification at the source,,None,,,,,|12|header.acquisition_provenance.last_modification_date_time|None||
13.1,header.acquisition_provenance.modality,string (enum),0..1,sensed' | 'self-reported'  The modality whereby the measure is obtained.,,device.extension[0].valueCode,code,1..1,,= header.acquisition_provenance.modality,|13.1|header.acquisition_provenance.modality|device.extension[0].valueCode|= header.acquisition_provenance.modality|
13.2,header.acquisition_provenance.modality,,,,,device.extension[0].url,uri,1..1,"""http://www.fhir.org/mfhir/StructureDefinition/extenion-modality""","fixed to ""http://www.fhir.org/mfhir/StructureDefinition/extenion-modality""","|13.2|header.acquisition_provenance.modality|device.extension[0].url|fixed to ""http://www.fhir.org/mfhir/StructureDefinition/extenion-modality""|"
14.1,header.user_id,string,0..1,The user this data point belongs to.,,subject.identifier.value,string,,,"concatenation of  ""urn:uuid:"" + header.user_id","|14.1|header.user_id|subject.identifier.value|concatenation of  ""urn:uuid:"" + header.user_id|"
14.2,header.user_id,,,,,subject.identifier.system,uri,1..1,"""urn:ietf:rfc:3986""","fixed to ""urn:ietf:rfc:3986""","|14.2|header.user_id|subject.identifier.system|fixed to ""urn:ietf:rfc:3986""|"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
