11.B1,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].valueCodeableConcept,,1..1,,A mapping between body.temporal_relationship_to_physical_activity and FHIR Observation Component.valueCodeableConcept data elements.,|11.B1|body.temporal_relationship_to_physical_activity|Observation.component[0].valueCodeableConcept|A mapping between body.temporal_relationship_to_physical_activity and FHIR Observation Component.valueCodeableConcept data elements.|,,,,,,,,
11.B2,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].valueCodeableConcept.coding[0].code,code,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.temporal_relationship_to_physical_activity to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#),|11.B2|body.temporal_relationship_to_physical_activity|Observation.component[0].valueCodeableConcept.coding[0].code|Map body.temporal_relationship_to_physical_activity to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#)|,,,,,,,,
11.B3,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].valueCodeableConcept.coding[0].system,uri,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.temporal_relationship_to_physical_activity to column 'FHIR Concept System' using  the [OMH_FHIR_Concept_Mapping_Table](#),|11.B3|body.temporal_relationship_to_physical_activity|Observation.component[0].valueCodeableConcept.coding[0].system|Map body.temporal_relationship_to_physical_activity to column 'FHIR Concept System' using  the [OMH_FHIR_Concept_Mapping_Table](#)|,,,,,,,,
11.B4,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].valueCodeableConcept.coding[0].display,string,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.temporal_relationship_to_physical_activity to column 'FHIR Concept display' using  the [OMH_FHIR_Concept_Mapping_Table](#),|11.B4|body.temporal_relationship_to_physical_activity|Observation.component[0].valueCodeableConcept.coding[0].display|Map body.temporal_relationship_to_physical_activity to column 'FHIR Concept display' using  the [OMH_FHIR_Concept_Mapping_Table](#)|,,,,,,,,
11.B5,body.temporal_relationship_to_physical_activity,,,,,Observation.component[0].valueCodeableConcept.text,string,1..1,,=  body.temporal_relationship_to_physical_activity,|11.B5|body.temporal_relationship_to_physical_activity|Observation.component[0].valueCodeableConcept.text|=  body.temporal_relationship_to_physical_activity|,,,,,,,,
12,body.body_posture,body_posture,0..1,"The posture of the subject (for example, during a clinical measurement). This value set is not exhaustive.   The SNOMED code represents Position of body and posture (observable entity)""",,Observation.component[0],Element,0..*,OMH_FHIR_Component_Mapping_Table,A mapping table between OMH schema ('datapoint_variables') and FHIR Observation Component data elements.  Multiple components mapping are appended as a list,|12|body.body_posture|Observation.component[0]|A mapping table between OMH schema ('datapoint_variables') and FHIR Observation Component data elements.  Multiple components mapping are appended as a list|,,,,,,,,
12.A1,body.body_posture,,,,,Observation.component[0].code,CodeableConcept,1..1,,A mapping between body.body_posture and FHIR Observation Component.code data elements.,|12.A1|body.body_posture|Observation.component[0].code|A mapping between body.body_posture and FHIR Observation Component.code data elements.|,,,,,,,,
12.A2,body.body_posture,,,,,Observation.component[0].code.coding[1].code,code,1..1,'271605009',=  '271605009',|12.A2|body.body_posture|Observation.component[0].code.coding[1].code|=  '271605009'|,,,,,,,,
12.A3,body.body_posture,,,,,Observation.component[0].code.coding[1].system,uri,1..1,'http://snomed.info/sct',=  'http://snomed.info/sct',|12.A3|body.body_posture|Observation.component[0].code.coding[1].system|=  'http://snomed.info/sct'|,,,,,,,,
12.A4,body.body_posture,,,,,Observation.component[0].code.coding[1].display,string,1..1,'Position of body and posture (observable entity)',=  'Position of body and posture (observable entity)',|12.A4|body.body_posture|Observation.component[0].code.coding[1].display|=  'Position of body and posture (observable entity)'|,,,,,,,,
12.B1,body.body_posture,,,,,Observation.component[0].valueCodeableConcept,,1..1,,A mapping between body.body_posture and FHIR Observation Component.valueCodeableConcept data elements.,|12.B1|body.body_posture|Observation.component[0].valueCodeableConcept|A mapping between body.body_posture and FHIR Observation Component.valueCodeableConcept data elements.|,,,,,,,,
12.B2,body.body_posture,,,,,Observation.component[0].valueCodeableConcept.coding[0].code,code,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.body_posture to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#),|12.B2|body.body_posture|Observation.component[0].valueCodeableConcept.coding[0].code|Map body.body_posture to column 'FHIR Concept' using  the [OMH_FHIR_Concept_Mapping_Table](#)|,,,,,,,,
12.B3,body.body_posture,,,,,Observation.component[0].valueCodeableConcept.coding[0].system,uri,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.body_posture to column 'FHIR Concept System' using  the [OMH_FHIR_Concept_Mapping_Table](#),|12.B3|body.body_posture|Observation.component[0].valueCodeableConcept.coding[0].system|Map body.body_posture to column 'FHIR Concept System' using  the [OMH_FHIR_Concept_Mapping_Table](#)|,,,,,,,,
12.B4,body.body_posture,,,,,Observation.component[0].valueCodeableConcept.coding[0].display,string,1..1,OMH_FHIR_Concept_Mapping_Table,Map body.body_posture to column 'FHIR Concept display' using  the [OMH_FHIR_Concept_Mapping_Table](#),|12.B4|body.body_posture|Observation.component[0].valueCodeableConcept.coding[0].display|Map body.body_posture to column 'FHIR Concept display' using  the [OMH_FHIR_Concept_Mapping_Table](#)|,,,,,,,,
12.B5,body.body_posture,,,,,Observation.component[0].valueCodeableConcept.text,string,1..1,,=  body.body_posture,|12.B5|body.body_posture|Observation.component[0].valueCodeableConcept.text|=  body.body_posture|,,,,,,,,
13,body.diastolic_blood_pressure,omh:diastolic-blood-pressure:1.0,0..1,his schema represents a person's diastolic blood pressure,,Observation.component[0],Element,0..*,,A mapping  between OMH schema ('datapoint_variables') and FHIR Observation Component data elements.  Multiple components are appended as a list,|13|body.diastolic_blood_pressure|Observation.component[0]|A mapping  between OMH schema ('datapoint_variables') and FHIR Observation Component data elements.  Multiple components are appended as a list|,,,,,,,,
13.A1,body.diastolic_blood_pressure,,,,,Observation.component[0].code,CodeableConcept,1..1,,A mapping between body.diastolic_blood_pressure and FHIR Observation Component.code data elements.,|13.A1|body.diastolic_blood_pressure|Observation.component[0].code|A mapping between body.diastolic_blood_pressure and FHIR Observation Component.code data elements.|,,,,,,,,
13.A2,body.diastolic_blood_pressure,,,,,Observation.component[0].code.coding[1].code,code,1..1,'8462-4',=  '8462-4',|13.A2|body.diastolic_blood_pressure|Observation.component[0].code.coding[1].code|=  '8462-4'|,,,,,,,,
13.A3,body.diastolic_blood_pressure,,,,,Observation.component[0].code.coding[1].system,uri,1..1,'http://loinc.org',=  'http://loinc.org',|13.A3|body.diastolic_blood_pressure|Observation.component[0].code.coding[1].system|=  'http://loinc.org'|,,,,,,,,
13.A4,body.diastolic_blood_pressure,,,,,Observation.component[0].code.coding[1].display,string,1..1,'Diastolic blood pressure',=  'Diastolic blood pressure',|13.A4|body.diastolic_blood_pressure|Observation.component[0].code.coding[1].display|=  'Diastolic blood pressure'|,,,,,,,,
13.B1,body.diastolic_blood_pressure,,,,,Observation.component[0].valueQuantity,,1..1,,see valueQuantity elements below,|13.B1|body.diastolic_blood_pressure|Observation.component[0].valueQuantity|see valueQuantity elements below|,,,,,,,,
13.B2,body.diastolic_blood_pressure,,,,,Observation.component[0].valueQuantity.value,decimal,0..1,,=  body.diastolic_blood_pressure,|13.B2|body.diastolic_blood_pressure|Observation.component[0].valueQuantity.value|=  body.diastolic_blood_pressure|,,,,,,,,
13.B3,body.diastolic_blood_pressure,,,,,Observation.component[0].valueQuantity.unit,string,0..1,'mmHg',=  'mmHg',|13.B3|body.diastolic_blood_pressure|Observation.component[0].valueQuantity.unit|=  'mmHg'|,,,,,,,,
13.B4,body.diastolic_blood_pressure,,,,,Observation.component[0].valueQuantity.system,uri,0..1,http://unitsofmeasure.org,fixed to 'http://unitsofmeasure.org',|13.B4|body.diastolic_blood_pressure|Observation.component[0].valueQuantity.system|fixed to 'http://unitsofmeasure.org'|,,,,,,,,
13.B5,body.diastolic_blood_pressure,,,,,Observation.component[0].valueQuantity.code,string,0..1,'mm[Hg]',=  'mm[Hg]',|13.B5|body.diastolic_blood_pressure|Observation.component[0].valueQuantity.code|=  'mm[Hg]'|,,,,,,,,
14,body.systolic_blood_pressure,omh:systolic-blood-pressure:1.0,0..1,his schema represents a person's systolic blood pressure,,Observation.component[0],Element,0..*,,A mapping  between OMH schema ('datapoint_variables') and FHIR Observation Component data elements.  Multiple components are appended as a list,|14|body.systolic_blood_pressure|Observation.component[0]|A mapping  between OMH schema ('datapoint_variables') and FHIR Observation Component data elements.  Multiple components are appended as a list|,,,,,,,,
14.A1,body.systolic_blood_pressure,,,,,Observation.component[0].code,CodeableConcept,1..1,,0,|14.A1|body.systolic_blood_pressure|Observation.component[0].code|0|,,,,,,,,
14.A2,body.systolic_blood_pressure,,,,,Observation.component[0].code.coding[1].code,code,1..1,'8480-6',=  '8480-6',|14.A2|body.systolic_blood_pressure|Observation.component[0].code.coding[1].code|=  '8480-6'|,,,,,,,,
14.A3,body.systolic_blood_pressure,,,,,Observation.component[0].code.coding[1].system,uri,1..1,'http://loinc.org',=  'http://loinc.org',|14.A3|body.systolic_blood_pressure|Observation.component[0].code.coding[1].system|=  'http://loinc.org'|,,,,,,,,
14.A4,body.systolic_blood_pressure,,,,,Observation.component[0].code.coding[1].display,string,1..1,'Systolic blood pressure',=  'Systolic blood pressure',|14.A4|body.systolic_blood_pressure|Observation.component[0].code.coding[1].display|=  'Systolic blood pressure'|,,,,,,,,
14.B1,body.systolic_blood_pressure,,,,,Observation.component[0].valueQuantity,,1..1,,see valueQuantity elements below,|14.B1|body.systolic_blood_pressure|Observation.component[0].valueQuantity|see valueQuantity elements below|,,,,,,,,
14.B2,body.systolic_blood_pressure.value,,,,,Observation.component[0].valueQuantity.value,decimal,0..1,,=  body.systolic_blood_pressure.value,|14.B2|body.systolic_blood_pressure.value|Observation.component[0].valueQuantity.value|=  body.systolic_blood_pressure.value|,,,,,,,,
14.B3,body.systolic_blood_pressure.unit,,,,,Observation.component[0].valueQuantity.unit,string,0..1,'mmHg',=  'mmHg',|14.B3|body.systolic_blood_pressure.unit|Observation.component[0].valueQuantity.unit|=  'mmHg'|,,,,,,,,
14.B4,body.systolic_blood_pressure.unit,,,,,Observation.component[0].valueQuantity.system,uri,0..1,http://unitsofmeasure.org,fixed to 'http://unitsofmeasure.org',|14.B4|body.systolic_blood_pressure.unit|Observation.component[0].valueQuantity.system|fixed to 'http://unitsofmeasure.org'|,,,,,,,,
14.B5,body.systolic_blood_pressure.unit,,,,,Observation.component[0].valueQuantity.code,string,0..1,'mm[Hg]',=  'mm[Hg]',|14.B5|body.systolic_blood_pressure.unit|Observation.component[0].valueQuantity.code|=  'mm[Hg]'|,,,,,,,,
