Index,OMH Step Count Element,JSON Data Type,Cardinality,Description,,FHIR Attribute,Data Type,Cardinality,Mapping Table/Fixed Values,Mapping Instructions,|Index|OMH Step Count Element|FHIR Attribute|Mapping Instructions|
5,body.descriptive_statistic,descriptive-statistic,0..1,"The descriptive statistic of a set of measurements. A measurement value can be the result of combining various measurements and calculating descriptive statistics like average, maximum, minimum, etc. Additional descriptive statistics will be added as the need arises. A measurement value without a descriptive statistic is interpreted as being the result of an individual measurement.
",,Observation.code.coding[1],Coding,0..1,,Map  descriptive statistic to the OMH to FHIR additional Observation codings ( code system http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes).,|5|body.descriptive_statistic|Observation.code.coding[1]|Map  descriptive statistic to the OMH to FHIR additional Observation codings ( code system http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes).|
5.1,body.descriptive_statistic,,,,,Observation.code.coding[1].code,code,1..1,,"IF body.descriptive_statistic_denominator is present  = concatenation of  header.schema_id.name = 'step-count'  + '-' + body.descriptive_statistic/body.descriptive_statistic_denominator  for example= step-count-maximum/session, ELSE = concatenation of  header.schema_id.name = 'step-count'  + '-' + body.descriptive_statistic for example= step-count-maximum","|5.1|body.descriptive_statistic|Observation.code.coding[1].code|IF body.descriptive_statistic_denominator is present  = concatenation of  header.schema_id.name = 'step-count'  + '-' + body.descriptive_statistic/body.descriptive_statistic_denominator  for example= step-count-maximum/session, ELSE = concatenation of  header.schema_id.name = 'step-count'  + '-' + body.descriptive_statistic for example= step-count-maximum|"
5.2,body.descriptive_statistic,,,,,Observation.code.coding[1].system,uri,1..1,"""http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes""","fixed to '""http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes""'","|5.2|body.descriptive_statistic|Observation.code.coding[1].system|fixed to '""http://www.fhir.org/guides/mfhir/omh_fhir_observation_codes""'|"
5.3,body.descriptive_statistic,,,,,Observation.code.coding[1].display,string,1..1,,"IF body.descriptive_statistic_denominator is present  = concatenation of  header.schema_id.name = 'step-count'  + '-' + body.descriptive_statistic/body.descriptive_statistic_denominator  for example= step-count-maximum/session, ELSE = concatenation of  header.schema_id.name = 'step-count'  + '-' + body.descriptive_statistic for example= step-count-maximum","|5.3|body.descriptive_statistic|Observation.code.coding[1].display|IF body.descriptive_statistic_denominator is present  = concatenation of  header.schema_id.name = 'step-count'  + '-' + body.descriptive_statistic/body.descriptive_statistic_denominator  for example= step-count-maximum/session, ELSE = concatenation of  header.schema_id.name = 'step-count'  + '-' + body.descriptive_statistic for example= step-count-maximum|"
5,body.descriptive_statistic_denominator,descriptive-statistic-denominator,0..1,"The descriptive statistic of a set of measurements. A measurement value can be the result of combining various measurements and calculating descriptive statistics like average, maximum, minimum, etc. Additional descriptive statistics will be added as the need arises. A measurement value without a descriptive statistic is interpreted as being the result of an individual measurement.
",,Observation.code.coding[1],Coding,0..1,,see body.descriptive_statistic above and ,|5|body.descriptive_statistic_denominator|Observation.code.coding[1]|see body.descriptive_statistic above and |
5.A1,body.descriptive_statistic_denominator,,,,,Observation.code.coding[1].code,code,1..1,,see body.descriptive_statistic above,|5.A1|body.descriptive_statistic_denominator|Observation.code.coding[1].code|see body.descriptive_statistic above|
5.A2,body.descriptive_statistic_denominator,,,,,Observation.code.coding[1].system,uri,1..1,,see body.descriptive_statistic above,|5.A2|body.descriptive_statistic_denominator|Observation.code.coding[1].system|see body.descriptive_statistic above|
5.A3,body.descriptive_statistic_denominator,,,,,Observation.code.coding[1].display,string,1..1,,see body.descriptive_statistic above,|5.A3|body.descriptive_statistic_denominator|Observation.code.coding[1].display|see body.descriptive_statistic above|
5.B1,body.descriptive_statistic_denominator,,,,,Observation.valueQuantity.unit,string,1..1,OMH_FHIR_Descriptive_Statistic_Denominator_Mapping _Table,see body.step_count.unit above,|5.B1|body.descriptive_statistic_denominator|Observation.valueQuantity.unit|see body.step_count.unit above|
5.B2,body.descriptive_statistic_denominator,,,,,Observation.valueQuantity.code,string,1..1,OMH_FHIR_Descriptive_Statistic_Denominator_Mapping _Table,see body.step_count.unit above,|5.B2|body.descriptive_statistic_denominator|Observation.valueQuantity.code|see body.step_count.unit above|
